ticker,weight
ALB,0.051734
CMS,0.051633
ULTA,0.051561
CTLT,0.051468
CAH,0.051324
TYL,0.051251
NDAQ,0.051219
PEAK,0.050901
CE,0.050847
CTXS,0.05065
J,0.04979
DGX,0.049682
ABC,0.049599
MGM,0.049475
GPC,0.049212
AKAM,0.049118
ANET,0.048953
MAA,0.048861
IT,0.04872
NVR,0.048561
VTRS,0.048432
OMC,0.048395
STE,0.048162
HBAN,0.047515
NTAP,0.047408
IEX,0.047326
K,0.047275
VAR,0.047242
DRE,0.046789
MAS,0.046573
AVY,0.04632
MPWR,0.046127
CINF,0.046082
STX,0.045869
PFG,0.045404
RJF,0.045337
INCY,0.045244
TDY,0.045041
BKR,0.044941
PENN,0.0449
EMN,0.043969
PKI,0.043229
AAL,0.042943
BXP,0.042884
DPZ,0.042855
WHR,0.042831
ABMD,0.042469
FMC,0.042342
LB,0.042052
POOL,0.041753
PHM,0.041651
WYNN,0.041624
WRK,0.041124
JBHT,0.041015
WAB,0.040897
XRAY,0.040768
SJM,0.040622
EVRG,0.040269
LNT,0.039742
FBHS,0.039647
FANG,0.039581
DVN,0.03928
HRL,0.039179
LDOS,0.03859
FFIV,0.038512
PKG,0.038369
LUMN,0.038262
UDR,0.037898
CHRW,0.037875
BF.B,0.037598
TXT,0.037448
LYV,0.037152
NLOK,0.037056
CNP,0.036993
PWR,0.03699
SNA,0.036753
BIO,0.036716
FOXA,0.035939
ATO,0.035899
HWM,0.035552
HAS,0.035488
HST,0.035453
L,0.035069
AAP,0.035042
LKQ,0.034941
ALLE,0.034613
TPR,0.034541
LW,0.034358
MHK,0.034346
JKHY,0.034282
IPG,0.033533
LNC,0.032959
NCLH,0.032751
BWA,0.032477
WRB,0.031677
IRM,0.031365
CBOE,0.031054
MOS,0.030986
DISCK,0.030983
UHS,0.030937
NWSA,0.030136
PNR,0.030063
WU,0.029947
NWL,0.029696
CPB,0.029634
RE,0.029412
CMA,0.028866
TAP,0.028617
HSIC,0.028518
CF,0.028313
IVZ,0.028205
NI,0.027477
NRG,0.027391
GL,0.027268
PNW,0.027241
AOS,0.027066
DISH,0.027022
ALK,0.026683
NLSN,0.02668
ZION,0.02656
REG,0.026387
RHI,0.026044
MRO,0.025512
JNPR,0.024354
KIM,0.024335
BEN,0.024227
HII,0.024218
AIZ,0.024089
IPGP,0.023494
DXC,0.023078
ROL,0.022807
DVA,0.022404
PBCT,0.022265
FLIR,0.022092
COG,0.021515
PVH,0.021465
FRT,0.021172
VNO,0.020902
SEE,0.020782
DISCA,0.020336
HBI,0.020323
APA,0.019576
GPS,0.018521
LEG,0.017956
RL,0.017462
UNM,0.016476
HFC,0.016095
FOX,0.015952
PRGO,0.015816
NOV,0.015416
UAA,0.012755
UA,0.010869
NWS,0.008737
